"Path","OriginalLine","ConnectionId","Context"
"views/windowpublicsetting.xaml","242","4",""
"views/windowpublicsetting.xaml","246","5",""
"views/windowpublicsetting.xaml","250","6",""
"views/windowpublicsetting.xaml","254","7",""
"views/windowpublicsetting.xaml","258","8",""
"views/windowpublicsetting.xaml","262","9",""
"views/windowpublicsetting.xaml","266","10",""
"views/windowpublicsetting.xaml","270","11",""
"views/windowpublicsetting.xaml","274","12",""
"views/windowpublicsetting.xaml","278","13",""
"views/windowpublicsetting.xaml","282","14",""
"views/windowpublicsetting.xaml","286","15",""
"views/windowpublicsetting.xaml","290","16",""
"views/windowpublicsetting.xaml","302","17",""
"views/windowpublicsetting.xaml","306","18",""
"views/windowpublicsetting.xaml","310","19",""
"views/windowpublicsetting.xaml","700","20",""
"views/windowpublicsetting.xaml","708","21",""
"views/windowpublicsetting.xaml","827","23",""
"views/windowpublicsetting.xaml","831","24",""
"views/windowpublicsetting.xaml","834","22",""
"views/windowpublicsetting.xaml","842","25",""
"views/windowpublicsetting.xaml","847","26",""
"views/windowpublicsetting.xaml","850","27",""
"views/windowpublicsetting.xaml","856","1",""
"views/windowpvffileheaderedit.xaml","16","1",""
"views/windowpvffileheaderedit.xaml","26","2",""
"views/windowpvffileheaderedit.xaml","31","3",""
"views/windowpvffileheaderedit.xaml","34","4",""
"views/windowselectdefaulttheme.xaml","10","1",""
"views/winerrorpanel.xaml","6","1",""
"views/winfindnpk.xaml","59","1",""
